ecosystem_name,num_repos,pct_total,pct_total_running,num_subecosystems,curr_num_commits,one_month_commit_growth_pct,three_month_commit_growth_pct,curr_num_devs,one_month_dev_growth_pct,three_month_dev_growth_pct,ecosystem_label,Ethereum_rollup,Execution VM,Support Tooling?
Ethereum,115588,16.15%,16.15%,1625,42766,5.814528899,-5.042520594,2728,10.62449311,-16.4983165,Ethereum,,EVM,
Solana,56703,7.92%,24.07%,348,4696,-6.08,-36.90716109,836,-11.15834219,-32.2528363,Solana,,SVM,
Cosmos Network Stack,35066,4.90%,28.97%,760,7732,-7.930459633,-19.06207474,833,1.461632156,-13.13868613,Cosmos Network Stack,,CosmWasm,
Polygon,29529,4.12%,33.09%,491,4805,-3.261526072,-26.76421277,498,-0.5988023952,-17.68595041,Polygon,,EVM,
Hardhat,24461,3.42%,36.51%,0,1041,-9.47826087,-29.37584803,260,-1.140684411,-33.16195373,Hardhat,,EVM,
Tendermint,22388,3.13%,39.63%,573,4240,-2.974828375,-19.48347892,446,12.34256927,-7.468879668,Tendermint,,CosmWasm,
BNB Chain (BSC),21384,2.99%,42.62%,479,5112,5.380333952,-21.79899036,588,10.94339623,-10.50228311,BNB Chain (BSC),,EVM,
Polkadot Network,19051,2.66%,45.28%,433,4089,-9.455270151,-18.00681773,617,0,-11.22302158,Polkadot Network,,Other,
BNB Chain,18760,2.62%,47.90%,496,3617,-4.185430464,-17.70193402,334,8.441558442,-6.442577031,BNB Chain,,EVM,
Cosmos Network,14979,2.09%,50.00%,248,4446,-11.16883117,-24.873268,646,3.36,-13.52074967,Cosmos Network,,CosmWasm,
Polkadot,13948,1.95%,51.94%,417,3591,-10.38183179,-15.96068336,534,4.705882353,-8.24742268,Polkadot,,Other,
NEAR,13454,1.88%,53.82%,188,2510,-1.684292989,-24.71505699,192,-10.69767442,-32.63157895,NEAR,,Other,
Internet Computer,12578,1.76%,55.58%,218,3253,-10.33627343,-23.06054872,369,-15.36697248,-31.2849162,Internet Computer,,Other,
Bitcoin,12326,1.72%,57.30%,209,4473,3.017042837,-16.84327942,610,-5.132192846,-16.09353508,Bitcoin,,Other,
Move Stack,11699,1.63%,58.94%,100,2031,-35.58515699,-88.94393032,394,-19.75560081,-52.53012048,Move Stack,,MoveVM,
Move,11699,1.63%,60.57%,100,2031,-35.58515699,-88.94393032,394,-19.75560081,-52.53012048,Move,,MoveVM,
Arbitrum,9798,1.37%,61.94%,394,4442,1.787351054,-2.137034589,388,-1.272264631,-14.34878587,Arbitrum,,EVM,
Cosmos,9107,1.27%,63.21%,200,2827,-1.908396947,-18.20023148,477,6,-10.16949153,Cosmos,,CosmWasm,
Foundry,9085,1.27%,64.48%,0,2807,11.87724193,-28.46585117,672,5.826771654,-15.15151515,Foundry,,EVM,
Truffle,8861,1.24%,65.72%,1,243,34.25414365,-13.52313167,69,16.94915254,-15.85365854,Truffle,,EVM,
Anchor Framework,8795,1.23%,66.95%,0,229,-12.92775665,18.04123711,39,-11.36363636,-9.302325581,Anchor Framework,,SVM,
Flow,7032,0.98%,67.93%,64,738,118.3431953,-50.6684492,68,4.615384615,-61.14285714,Flow,,Other,
Avalanche,6207,0.87%,68.80%,257,884,-16.44612476,-22.45614035,175,-6.417112299,-8.854166667,Avalanche,,EVM,
Celo,6039,0.84%,69.64%,102,1688,10.18276762,-12.44813278,226,1.801801802,-19.28571429,Celo,,EVM,
Optimism,6037,0.84%,70.48%,126,1722,-4.066852368,-38.14655172,277,14.46280992,-9.771986971,Optimism,,EVM,
IPFS,5880,0.82%,71.31%,29,698,-26.83438155,-26.9874477,119,6.25,-15.60283688,IPFS,,Other,
Aptos,5864,0.82%,72.12%,64,497,-38.86838868,-96.78462832,132,-20.48192771,-73.44064386,Aptos,,MoveVM,
Base,5810,0.81%,72.94%,127,2953,18.54676837,-21.54622742,474,14.21686747,-18.69639794,Base,,EVM,
Starknet,5395,0.75%,73.69%,68,2168,0.2311604253,-36.02832694,407,-1.452784504,-27.58007117,Starknet,,EVM,
Filecoin,5122,0.72%,74.40%,23,495,-12.85211268,-35.03937008,109,11.2244898,-18.04511278,Filecoin,,Other,
Algorand,4186,0.58%,74.99%,54,256,21.32701422,-50.95785441,53,-8.620689655,-38.37209302,Algorand,,Other,
Sui,4119,0.58%,75.56%,43,1530,-28.67132867,-48.41537424,208,-16.8,-32.90322581,Sui,,MoveVM,
Tezos,3789,0.53%,76.09%,38,281,4.074074074,-24.66487936,63,23.52941176,-16,Tezos,,Other,
Ethereum Virtual Machine,3715,0.52%,76.61%,6,184,-32.35294118,-32.84671533,48,-4,-11.11111111,Ethereum Virtual Machine,,EVM,
The Graph,3660,0.51%,77.12%,3,165,-35.29411765,-32.09876543,38,-13.63636364,-5,The Graph,,Other,
Kusama,3412,0.48%,77.60%,123,1490,5.374823197,-14.61318052,209,5.025125628,-5.855855856,Kusama,,Other,
Tron,3399,0.47%,78.08%,42,146,2.816901408,-38.13559322,38,15.15151515,-29.62962963,Tron,,Other,
Stellar,3315,0.46%,78.54%,23,846,-12.51292658,-37.88546256,159,-10.16949153,-18.04123711,Stellar,,Other,
Flow Community,3193,0.45%,78.98%,0,322,253.8461538,-63.40909091,21,10.52631579,-79.80769231,Flow Community,,Other,
Scroll,3190,0.45%,79.43%,85,1420,-12.39975324,16.48892535,104,-3.703703704,-22.96296296,Scroll,,EVM,
Cardano,3137,0.44%,79.87%,39,1911,-15.44247788,-14.22800718,214,-18.93939394,-27.45762712,Cardano,,Other,
Mina Protocol,3067,0.43%,80.30%,12,490,18.93203883,-34.22818792,59,0,-31.39534884,Mina Protocol,,Other,
Stacks,3042,0.42%,80.72%,35,854,1.78784267,-18.12080537,115,8.490566038,-24.34210526,Stacks,,Other,
Fantom,2962,0.41%,81.14%,107,574,-3.691275168,-24.07407407,70,12.90322581,-4.109589041,Fantom,,EVM,
zkSync,2420,0.34%,81.47%,37,595,17.82178218,-48.48484848,117,-9.302325581,-31.17647059,zkSync,,EVM,
TON,2295,0.32%,81.79%,12,424,13.36898396,-23.6036036,73,1.388888889,-17.04545455,TON,,Other,
Arweave,2036,0.28%,82.08%,22,82,-46.05263158,-49.69325153,23,-23.33333333,-25.80645161,Arweave,,Other,
EOS,1967,0.27%,82.35%,35,362,-44.73282443,-24.26778243,30,-40,-28.57142857,EOS,,Other,
Osmosis,1896,0.26%,82.62%,22,728,-4.461942257,-10.23427867,101,8.602150538,5.208333333,Osmosis,,Other,
Hedera,1788,0.25%,82.87%,30,301,-0.6600660066,-15.68627451,76,-10.58823529,0,Hedera,,Other,
